local a,,local b,
X,Y,X,Y
0.0006971273185577577,61.55913978494624,61.31204298578691,173.04687500000003
0.04705561620318098,61.55913978494624,56.35283259755617,171.875
0.08072468693633456,62.63440860215053,48.4151949551704,168.359375
0.10449807260416541,62.63440860215053,36.9628600337926,168.359375
0.11750698797794837,62.36559139784944,39.54299839012637,169.140625
0.17306791455104775,63.172043010752674,36.9628600337926,164.06250000000003
0.2671477940330217,63.70967741935482,46.026045557547576,164.453125
0.3299676301001112,63.70967741935482,56.35283259755617,166.015625
0.37104514348468787,63.978494623655905,65.5918404275484,175.390625
0.463705276988934,69.08602150537632,25.076527636034783,139.453125
0.5401123109850874,69.08602150537632,23.048218509519387,137.890625
0.6291093135103862,69.08602150537632,20.8296186381121,137.890625
0.7327707965472332,69.08602150537632,16.173023172161358,133.984375
0.8337178660992305,69.62365591397848,12.771064733174798,131.25
0.9375070068499803,69.89247311827955,21.183968696654404,132.421875
1.0792474199588784,70.96774193548386,15.902492574711637,131.25
1.2719164925626738,72.04301075268816,25.076527636034783,136.328125
1.4642158223581927,71.77419354838707,9.916010919416829,130.46875
2.033668935451848,75.80645161290322,25.503125414431416,163.671875
2.453629119588629,76.34408602150536,14.616223148107213,121.484375
2.891655134978885,76.88172043010752,12.14084974297345,121.09375
3.176221842578121,78.49462365591395,12.771064733174798,118.359375
3.5716281895925324,78.49462365591395,11.158839925077503,115.234375
3.923110792890034,79.56989247311827,10.43073755360759,119.140625
5.322487494139806,85.21505376344085,8.376776400682925,118.359375
6.199500336326087,85.21505376344085,8.23665576273813,115.625
7.221022963872411,86.55913978494623,7.319288477222398,114.06250000000003
7.479720168282681,88.44086021505375,5.878016072274924,114.453125
8.61056891804672,89.24731182795698,5.978011918358822,109.375
13.606861422352363,98.65591397849461,4.338730126091878,114.06250000000003
16.416728814649918,98.38709677419354,4.965588150034339,111.328125
16.610479349141034,100.26881720430106,4.412539891930158,107.421875
18.032292998574864,101.07526881720429,3.3687790490147105,106.640625
20.277124580323758,102.1505376344086,2.6156667852726714,105.859375
37.32282618711243,122.04301075268816,2.247234282811053,104.29687500000003
41.47958425960482,121.77419354838709,2.4040991835099694,87.890625
44.504880916216976,126.07526881720429,2.8942661247167516,86.71875
53.69530402724655,126.34408602150536,3.044503541046195,81.640625
59.67551536899282,125.80645161290322,2.2854638641349885,81.640625
60.379806895600446,122.84946236559139,1.7448505784296262,74.21875
53.06898291776705,119.35483870967742,1.7156639839124357,80.859375
80.0174511478642,147.31182795698925,1.4493462833726443,86.328125
92.11518108348062,150.80645161290323,1.266380173467402,86.328125
104.80503940677112,151.61290322580643,0.9832727255399378,85.15625
116.47749934878934,152.1505376344086,0.7634557718505097,83.59375
111.13730790817712,144.6236559139785,0.7257814446249907,80.078125
112.44895245394665,148.65591397849462,1,81.25
,,1.0519086393080568,75.78125
,,0.7136410992027267,74.21875
,,0.5927803145885002,73.4375
,,0.4375479375074189,82.421875
,,0.4230323952886763,78.515625
,,0.3954299839012629,76.171875
,,0.317564174176819,82.8125
,,0.26826957952797276,81.640625
,,0.222835996868422,78.90625
,,0.25076527636034784,75.78125
,,0.317564174176819,74.21875
,,0.21910855798922282,74.21875
,,0.1486487194087595,73.046875
,,0.11158839925077481,81.25
,,0.1025625974372752,77.734375
,,0.0911395667417204,73.046875
,,0.06395298292602504,82.421875
,,0.048825273941930925,78.90625
,,0.0607970887738817,73.4375
,,0.042661549964645905,73.4375
,,0.03665241237079626,78.90625
,,0.013547779883625878,73.046875
,,0.00644946677103762,72.265625
,,0.0046026045557547475,73.4375
,,0.001563648721681532,73.046875
